# Extracted from: D:\Work_Work\Mars\MAVEN\iuvs_data_kp\JGR_Figures\JGR_Figures\Fig2.fig
# Figure title: Figure 2
# X axis: Random number
# Y axis: Scattering angle \theta_{LAB} (deg.)
# Interpretation: inverse CDF style mapping from random number to H or H-ENA atmospheric scattering angle in LAB frame.
# Columns: random_number scattering_angle_lab_deg
random_number	scattering_angle_lab_deg
0.954237799501	9.86
0.954273898036	9.87
0.954309935694	9.88
0.954345912637	9.89
0.95438182903	9.9
0.954417685035	9.91
0.954453480816	9.92
0.954489216533	9.93
0.954524892348	9.94
0.954560508421	9.95
0.954596064912	9.96
0.954631561981	9.97
0.954666999786	9.98
0.954702378485	9.99
0.954737698237	10
0.954772959197	10.01
0.954808161524	10.02
0.954843305371	10.03
0.954878390896	10.04
0.954913418251	10.05
0.954948387593	10.06
0.954983299073	10.07
0.955018152846	10.08
0.955052949064	10.09
0.955087687878	10.1
0.955122369441	10.11
0.955156993902	10.12
0.955191561413	10.13
0.955226072123	10.14
0.955260526181	10.15
0.955294923735	10.16
0.955329264935	10.17
0.955363549928	10.18
0.95539777886	10.19
0.955431951879	10.2
0.95546606913	10.21
0.955500130758	10.22
0.95553413691	10.23
0.955568087728	10.24
0.955601983358	10.25
0.955635823942	10.26
0.955669609624	10.27
0.955703340546	10.28
0.955737016849	10.29
0.955770638676	10.3
0.955804206167	10.31
0.955837719462	10.32
0.955871178701	10.33
0.955904584024	10.34
0.95593793557	10.35
0.955971233477	10.36
0.956004477883	10.37
0.956037668925	10.38
0.956070806741	10.39
0.956103891466	10.4
0.956136923237	10.41
0.956169902189	10.42
0.956202828458	10.43
0.956235702178	10.44
0.956268523482	10.45
0.956301292505	10.46
0.95633400938	10.47
0.956366674239	10.48
0.956399287214	10.49
0.956431848438	10.5
0.956464358042	10.51
0.956496816156	10.52
0.956529222911	10.53
0.956561578436	10.54
0.956593882862	10.55
0.956626136317	10.56
0.95665833893	10.57
0.956690490829	10.58
0.956722592141	10.59
0.956754642995	10.6
0.956786643516	10.61
0.956818593831	10.62
0.956850494066	10.63
0.956882344347	10.64
0.956914144798	10.65
0.956945895545	10.66
0.956977596711	10.67
0.95700924842	10.68
0.957040850795	10.69
0.95707240396	10.7
0.957103908038	10.71
0.957135363149	10.72
0.957166769416	10.73
0.95719812696	10.74
0.957229435902	10.75
0.957260696362	10.76
0.95729190846	10.77
0.957323072317	10.78
0.95735418805	10.79
0.95738525578	10.8
0.957416275624	10.81
0.9574472477	10.82
0.957478172127	10.83
0.95750904902	10.84
0.957539878498	10.85
0.957570660676	10.86
0.95760139567	10.87
0.957632083597	10.88
0.95766272457	10.89
0.957693318706	10.9
0.957723866119	10.91
0.957754366922	10.92
0.95778482123	10.93
0.957815229156	10.94
0.957845590812	10.95
0.957875906311	10.96
0.957906175766	10.97
0.957936399288	10.98
0.957966576989	10.99
0.957996708979	11
0.95802679537	11.01
0.958056836272	11.02
0.958086831795	11.03
0.958116782047	11.04
0.95814668714	11.05
0.958176547181	11.06
0.958206362279	11.07
0.958236132541	11.08
0.958265858077	11.09
0.958295538993	11.1
0.958325175397	11.11
0.958354767395	11.12
0.958384315093	11.13
0.958413818598	11.14
0.958443278015	11.15
0.95847269345	11.16
0.958502065007	11.17
0.958531392791	11.18
0.958560676907	11.19
0.958589917459	11.2
0.958619114549	11.21
0.958648268282	11.22
0.95867737876	11.23
0.958706446086	11.24
0.958735470363	11.25
0.958764451691	11.26
0.958793390173	11.27
0.95882228591	11.28
0.958851139004	11.29
0.958879949553	11.3
0.95890871766	11.31
0.958937443423	11.32
0.958966126943	11.33
0.958994768319	11.34
0.95902336765	11.35
0.959051925034	11.36
0.95908044057	11.37
0.959108914356	11.38
0.95913734649	11.39
0.959165737068	11.4
0.959194086189	11.41
0.959222393949	11.42
0.959250660445	11.43
0.959278885772	11.44
0.959307070026	11.45
0.959335213304	11.46
0.9593633157	11.47
0.959391377309	11.48
0.959419398226	11.49
0.959447378545	11.5
0.959475318361	11.51
0.959503217767	11.52
0.959531076856	11.53
0.959558895722	11.54
0.959586674458	11.55
0.959614413155	11.56
0.959642111907	11.57
0.959669770805	11.58
0.959697389941	11.59
0.959724969407	11.6
0.959752509293	11.61
0.95978000969	11.62
0.95980747069	11.63
0.959834892381	11.64
0.959862274854	11.65
0.9598896182	11.66
0.959916922506	11.67
0.959944187862	11.68
0.959971414358	11.69
0.959998602081	11.7
0.960025751121	11.71
0.960052861564	11.72
0.960079933499	11.73
0.960106967013	11.74
0.960133962193	11.75
0.960160919127	11.76
0.9601878379	11.77
0.9602147186	11.78
0.960241561312	11.79
0.960268366122	11.8
0.960295133116	11.81
